truck capacity,trailer capacity,number of customers,max number of trucks,max number of trailers,num type of products,hopper truck capacity,hopper trailer capacity,,,,,,,,,
19500,30000,10,3,2,4,1500,2000,,,,,,,,,
customer Number,distance1,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10,indicator of truck customer,demands p1,demands p2,demands p3,demands p4
0,0,21,17,63,19,24,5,7,6,4,0,0,0,0,0,0
1,21,0,6,58,15,20,26,21,20,24,21,0,2000,0,0,1300
2,17,6,0,54,11,16,21,18,16,20,17,0,4000,0,0,1959
3,63,58,54,0,64,69,64,60,59,66,63,0,1885,0,3000,0
4,19,15,11,64,0,5,24,24,23,22,19,0,0,1016,2000,0
5,24,20,16,69,5,0,29,29,28,27,24,0,0,3500,1913,0
6,5,26,21,64,24,29,0,12,4,8,5,1,0,5283,0,0
7,7,21,18,60,24,29,12,0,8,10,7,1,1454,0,2500,0
8,6,20,16,59,23,28,4,8,0,9,6,1,2000,0,2000,526
9,4,24,20,66,22,27,8,10,9,0,4,1,0,3000,0,2119
10,0,21,17,63,19,24,5,7,6,4,0,1,0,5000,0,0
