truck capacity,trailer capacity,number of customers,max number of trucks,max number of trailers,num type of products,hopper truck capacity,hopper trailer capacity,,,,,,,
19500,30000,8,3,2,4,1500,2000,,,,,,,
customer Number,distance1,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,indicator of truck customer,demands p1,demands p2,demands p3,demands p4
0,0,20,63,19,5,6,8,6,4,0,0,0,0,0
1,20,0,56,13,24,26,17,18,22,0,3500,0,0,2541
2,63,56,0,64,64,58,57,59,66,0,3000,0,0,1885
3,19,13,64,0,24,25,25,23,22,0,1016,0,2000,0
4,5,24,64,24,0,7,5,4,8,0,0,2283,3000,0
5,6,26,58,25,7,0,14,12,10,1,0,8000,2017,0
6,8,17,57,25,5,14,0,3,11,1,1013,0,0,9000
7,6,18,59,23,4,12,3,0,9,1,2526,0,2000,0
8,4,22,66,22,8,10,11,9,0,1,2119,0,3000,0
